Types,ND251_34,ND251_HSC,ND251_LMPP,ND251_MPP
LT-HSC.HLF,212,1352,8,420
HSC.HIST1H2AC,329,1356,27,527
HSC.WNT11,374,1090,111,492
HSC.CACNB2,601,1389,166,616
HSC.MYADM-CD97,404,1946,114,581
ST-HSC.PBX1,394,1004,3,620
LMPP.CDK6-FLT3,747,163,1790,200
MPP.SPINK2-CD99,418,825,28,431
MPP.Ribo-high,342,317,448,230
pre-MEP,623,381,7,1411
MEP-MKP,722,26,0,803
ERP,82,0,0,0
BMCP,342,0,1,17
ML-Gran,1056,153,96,525
MultiLin-ATAC,636,32,173,50
pre-Gran.CP,330,1,14,0
MDP-pDC,19,0,0,0
MDP-2.GPR133,29,0,1,0
CD14-Mono,19,0,2,1
LMPP.PRSS1,161,18,2946,4
LMPP.LSAMP,165,1,2700,0
CLP,20,0,0,0
pre-PC,21,0,0,0
LMPP.Naive.T-cell,27,0,57,0
